I_time,I_voltage,II_time,II_voltage,III_time,III_voltage,aVR_time,aVR_voltage,aVL_time,aVL_voltage,aVF_time,aVF_voltage,V1_time,V1_voltage,V2_time,V2_voltage,V3_time,V3_voltage,V4_time,V4_voltage,V5_time,V5_voltage,V6_time,V6_voltage,heart_rate_bpm
0.0,0.3548724825898739,0.0,0.325,0.0,0.31499999999999995,0.0,0.46716779597214375,0.0,0.505,0.0,0.35659514398644826,0.0,0.375,0.0,0.2951326933935629,0.0,0.2806916996047429,0.0,0.25654903067946555,0.0,0.24928665537361192,0.0,0.3361838885751928,113.20754716981132
0.002,0.3550404667795972,0.002,0.3249999999999999,0.002,0.31499999999999995,0.002,0.46431206474684733,0.002,0.5049999999999999,0.002,0.3591360813099942,0.002,0.375,0.002,0.29522021456804054,0.002,0.2769395821569733,0.002,0.25570769809900246,0.002,0.24971014492753618,0.002,0.3115791454921888,113.20754716981132
0.004,0.35512382735494863,0.004,0.3249999999999999,0.004,0.3149999999999999,0.004,0.4628949349658731,0.004,0.5049999999999999,0.004,0.36086272994739793,0.004,0.375,0.004,0.29521798567565144,0.004,0.27324927932479404,0.004,0.2547737921879798,0.004,0.25006528178152887,0.004,0.29110662030570483,113.20754716981132
0.006,0.35513926449853217,0.006,0.3249999999999999,0.006,0.31499999999999984,0.006,0.46263250352495194,0.006,0.5049999999999999,0.006,0.3618947071235399,0.006,0.375,0.006,0.29513155418189724,0.006,0.2696402072374611,0.006,0.2537685782308208,0.006,0.25034570946470247,0.006,0.27441982756628047,113.20754716981132
0.008,0.3551034783929521,0.008,0.3249999999999999,0.008,0.31499999999999984,0.008,0.4632408673198146,0.008,0.5049999999999999,0.008,0.36235163006330035,0.008,0.375,0.008,0.2949664675522798,0.008,0.2661317820242304,0.008,0.2527133215119484,0.008,0.2505450715061698,0.008,0.2611722818244555,113.20754716981132
0.01,0.3550331692208122,0.01,0.3249999999999999,0.01,0.31499999999999984,0.01,0.4644361232461918,0.01,0.5049999999999999,0.01,0.36235311599155984,0.01,0.375,0.01,0.2947282732523006,0.01,0.26274341981435795,0.01,0.2516292873157861,0.01,0.2506570114350434,0.01,0.25101749763076975,113.20754716981132
0.012,0.3549450371647167,0.012,0.3249999999999999,0.012,0.31499999999999984,0.012,0.4659343681998143,0.012,0.5049999999999999,0.012,0.36201878213319844,0.012,0.375,0.012,0.2944225187474614,0.012,0.2594945367370996,0.012,0.2505377409267568,0.012,0.2506751727804358,0.012,0.24360898953576282,113.20754716981132
0.013999999999999999,0.3548557824072698,0.013999999999999999,0.3249999999999999,0.013999999999999999,0.3149999999999999,0.013999999999999999,0.46745169907641293,0.013999999999999999,0.5049999999999999,0.013999999999999999,0.3614682457130969,0.013999999999999999,0.375,0.013999999999999999,0.294054751503264,0.013999999999999999,0.25640454892171133,0.013999999999999999,0.24945994762928395,0.013999999999999999,0.25059319907145977,0.013999999999999999,0.2386002720899744,113.20754716981132
0.016,0.35478210513107533,0.016,0.3249999999999999,0.016,0.3149999999999999,0.016,0.4687042127717185,0.016,0.5049999999999999,0.016,0.3608211239561353,0.016,0.375,0.016,0.29363051898521003,0.016,0.2534928724974491,0.016,0.2484171727077905,0.016,0.250404733837228,0.016,0.23564485984394434,113.20754716981132
0.018000000000000002,0.35474070551873754,0.018000000000000002,0.3249999999999999,0.018000000000000002,0.31499999999999995,0.018000000000000002,0.46940800618146156,0.018000000000000002,0.5049999999999999,0.018000000000000002,0.36019703408719417,0.018000000000000002,0.375,0.018000000000000002,0.29315536865880115,0.018000000000000002,0.25077892359356885,0.018000000000000002,0.2474306814466997,0.018000000000000002,0.250103420606853,0.018000000000000002,0.23439626734821226,113.20754716981132
